" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
    23,     3,  5.62421e+02, -3.98592e+00, -8.18280e-02,  1.14596e-01, -1.47048e+01,  4.06054e+01,
    23,    30, -5.62103e+02,  3.98592e+00,  8.18280e-02, -1.14596e-01,  1.76907e+01, -1.98817e+02,
    24,    30,  5.11214e+02,  2.10640e-01,  2.79917e+00,  8.85800e-03, -5.42022e+01, -2.90489e+02,
    24,    31, -5.10896e+02, -2.10640e-01, -2.79917e+00, -8.85800e-03, -5.89598e+01,  2.98016e+02,
    25,    31,  4.60116e+02,  3.23306e-01, -8.11046e-01,  9.24560e-03,  4.19259e+01,  1.80733e+02,
    25,    34, -4.59480e+02, -3.23306e-01,  8.11046e-01, -9.24560e-03,  2.35351e+01, -1.54866e+02,
    26,    34,  4.08716e+02, -1.27575e-01,  2.37747e+00, -4.33439e-03, -4.78498e+01, -3.17821e+02,
    26,    35, -4.08398e+02,  1.27575e-01, -2.37747e+00,  4.33439e-03, -4.75787e+01,  3.12860e+02,
    27,    35,  3.57694e+02, -6.57321e-02, -1.09788e+00,  8.59174e-03,  3.94773e+01,  1.53885e+02,
    27,    38, -3.57058e+02,  6.57321e-02,  1.09788e+00, -8.59174e-03,  4.92422e+01, -1.58922e+02,
    28,    38,  3.06469e+02,  1.68731e-01,  3.40529e+00, -1.24147e-03, -6.99250e+01, -3.03353e+02,
    28,    39, -3.06151e+02, -1.68731e-01, -3.40529e+00,  1.24147e-03, -6.69018e+01,  3.10326e+02,
    29,    39,  2.55625e+02, -1.91197e-01, -1.45188e+00,  3.61927e-03,  5.68383e+01,  1.46877e+02,
    29,    42, -2.54989e+02,  1.91197e-01,  1.45188e+00, -3.61927e-03,  5.98775e+01, -1.61896e+02,
    30,    42,  2.04561e+02, -1.02084e+00,  4.09665e+00, -2.75578e-02, -7.75017e+01, -2.91075e+02,
    30,    43, -2.04243e+02,  1.02084e+00, -4.09665e+00,  2.75578e-02, -8.68612e+01,  2.50570e+02,
    31,    43,  1.53842e+02,  1.90720e+00, -1.57363e+00,  3.32063e-02,  7.99258e+01,  2.00022e+02,
    31,    46, -1.53206e+02, -1.90720e+00,  1.57363e+00, -3.32063e-02,  4.67567e+01, -4.63802e+01,
    32,    46,  1.02625e+02,  9.98573e-01,  1.91440e+00,  2.73356e-02, -4.55001e+01, -4.06620e+02,
    32,    47, -1.02306e+02, -9.98573e-01, -1.91440e+00, -2.73356e-02, -3.09992e+01,  4.46124e+02,
    33,    47,  5.16542e+01, -5.91092e+00, -4.91268e-01, -6.56787e-02,  3.24971e+01, -3.69801e+00,
    33,    50, -5.10180e+01,  5.91092e+00,  4.91268e-01,  6.56787e-02,  7.09409e+00, -4.70217e+02,
    34,     4,  5.62191e+02, -4.57128e+00, -3.68533e-01,  1.17072e-01, -1.87589e+01,  2.35106e+02,
    34,    29, -5.62032e+02,  4.57128e+00,  3.68533e-01, -1.17072e-01,  2.60545e+01, -3.25590e+02,
    35,    29,  5.11346e+02, -2.91847e-01,  1.25690e+00,  3.37593e-02, -5.39168e+01, -1.63425e+02,
    35,    32, -5.10710e+02,  2.91847e-01, -1.25690e+00, -3.37593e-02, -4.90770e+01,  1.38853e+02,
    36,    32,  4.59883e+02,  5.74476e-01, -2.71810e+00,  3.57437e-02,  7.68203e+01,  3.39490e+02,
    36,    33, -4.59565e+02, -5.74476e-01,  2.71810e+00, -3.57437e-02,  3.23389e+01, -3.16420e+02,
    37,    33,  4.08742e+02, -5.32267e-02,  5.04110e-01, -7.51348e-03, -1.35976e+01, -1.58083e+02,
    37,    36, -4.08106e+02,  5.32267e-02, -5.04110e-01,  7.51348e-03, -2.65018e+01,  1.54096e+02,
