" Frame3DD version: 20140514               http://frame3dd.sf.net/"
"GPL Copyright (C) 1992-2014, Henri P. Gavin "
"Frame3DD is distributed in the hope that it will be useful but with no warranty."
"For details see the GNU Public Licence: http://www.fsf.org/copyleft/gpl.html"
"  Example H: a pedestrian ramp (units: kip  in)               "
" Wed May 14 16:02:05 2014
 "
" .CSV formatted results of Frame3DD analysis "

 , Load Case , Displacements , End Forces , Reactions 
 First Row , 1 , 17 , 167 , 759  
 Last Row , 1 , 164 , 756 , 906  

"L O A D   C A S E   1   O F   1  ... "

"N O D E   D I S P L A C E M E N T S    (global)"
Node  ,  X-dsp   ,   Y-dsp  ,    Z-dsp ,     X-rot  ,    Y-rot   ,   Z-rot
   261,   116,  9.96331e-02, -3.66609e-03,  1.26318e+01, -3.92034e-01,  5.08004e+02,  5.28982e-01,
   262,    17,  3.09168e-01,  1.30465e-02,  1.24654e+01, -3.88163e-01, -4.87846e+02,  1.49431e+00,
   262,   117, -3.09168e-01, -1.30465e-02,  1.26281e+01,  3.88163e-01,  5.07389e+02,  1.63900e+00,
   263,    18,  3.08174e-01,  6.13925e-03,  1.25802e+01, -9.41613e-03, -5.01745e+02,  7.25428e-01,
   263,   118, -3.08174e-01, -6.13925e-03,  1.25133e+01,  9.41613e-03,  4.93722e+02,  7.50105e-01,
   264,    19,      0.0,   -5.43117e-04,  1.26379e+01,  4.70454e-02, -5.07934e+02, -3.19283e-04,
   264,   119,      0.0,    5.43117e-04,  1.24557e+01, -4.70454e-02,  4.86069e+02, -1.30029e-01,
   265,    20,  3.32072e-01, -4.52172e-04,  1.24213e+01,  4.25201e-01, -4.82566e+02, -1.50137e-01,
   265,   120, -3.32072e-01,  4.52172e-04,  1.26722e+01, -4.25201e-01,  5.12694e+02,  4.18739e-02,
   266,    21, -2.61464e+00,  9.23056e-03,  1.23976e+01, -3.21248e-01, -4.81146e+02,  1.07314e+00,
   266,   121,  2.61464e+00, -9.23056e-03,  1.26959e+01,  3.21248e-01,  5.16775e+02,  1.12727e+00,
   267,    22, -2.52516e+00,  2.77353e-03,  1.25312e+01, -2.75788e-02, -4.97216e+02,  2.87121e-01,
   267,   122,  2.52516e+00, -2.77353e-03,  1.25623e+01,  2.75788e-02,  5.00875e+02,  3.63988e-01,
   268,    23,      0.0,    4.46537e-03,  1.26670e+01,  6.64535e-02, -5.16350e+02,  3.93261e-01,
   268,   123,      0.0,   -4.46537e-03,  1.24265e+01, -6.64535e-02,  4.87482e+02,  6.78427e-01,
   269,    24, -2.60021e+00, -1.23724e-03,  1.23565e+01,  3.23948e-01, -4.76222e+02, -3.46273e-01,
   269,   124,  2.60021e+00,  1.23724e-03,  1.27370e+01, -3.23948e-01,  5.21692e+02,  4.49868e-02,
   270,    25,  6.55966e+00,  1.21720e-02,  1.25838e+01, -7.20543e-01, -4.95097e+02,  1.24522e+00,
   270,   125, -6.55966e+00, -1.21720e-02,  1.25098e+01,  7.20543e-01,  4.86673e+02,  1.71660e+00,
   271,    26,  6.31947e+00,  5.30615e-03,  1.27188e+01, -8.98635e-03, -5.11806e+02,  6.92473e-01,
   271,   126, -6.31947e+00, -5.30615e-03,  1.23747e+01,  8.98635e-03,  4.70697e+02,  6.20493e-01,
   272,    27,      0.0,   -1.46503e-02,  1.25302e+01,  6.16323e-02, -4.78815e+02, -1.38356e+00,
   272,   127,      0.0,    1.46503e-02,  1.25633e+01, -6.16323e-02,  4.82785e+02, -2.13252e+00,
   273,    28,  6.55803e+00, -1.17489e-02,  1.25483e+01,  9.45139e-01, -4.90840e+02, -8.31076e-01,
   273,   128, -6.55803e+00,  1.17489e-02,  1.25452e+01, -9.45139e-01,  4.90988e+02, -1.99106e+00,
   274,    29,  4.27812e+00,  1.91230e-03,  1.24991e+01, -3.06166e-02, -4.89193e+02, -8.63426e-03,
   274,    79, -4.27812e+00, -1.91230e-03,  1.25944e+01,  3.06166e-02,  5.00645e+02,  4.70098e-01,
   275,    30,  4.19415e+00,  2.12606e-03,  1.24987e+01, -3.77896e-02, -4.89428e+02, -1.29913e-01,
   275,    80, -4.19415e+00, -2.12606e-03,  1.25949e+01,  3.77896e-02,  5.01023e+02,  6.45462e-01,
   276,    33, -6.26019e-01,  1.54817e-02,  1.23942e+01, -5.11116e-03, -4.74601e+02,  1.40799e+00,
   276,    83,  6.26019e-01, -1.54817e-02,  1.26993e+01,  5.11116e-03,  5.11187e+02,  2.30385e+00,
   277,    34, -4.55261e-01,  1.09098e-02,  1.23789e+01, -8.25530e-03, -4.72819e+02,  8.62962e-01,
   277,    84,  4.55261e-01, -1.09098e-02,  1.27146e+01,  8.25530e-03,  5.13092e+02,  1.75349e+00,
   278,    37,  1.70400e-01,  1.71790e-02,  1.22962e+01, -3.11818e-04, -4.63064e+02,  1.61761e+00,
   278,    87, -1.70400e-01, -1.71790e-02,  1.27973e+01,  3.11818e-04,  5.23211e+02,  2.50643e+00,
   279,    38,  2.28838e-01,  1.09254e-02,  1.22913e+01, -1.55362e-02, -4.62405e+02,  8.63158e-01,
   279,    88, -2.28838e-01, -1.09254e-02,  1.28022e+01,  1.55362e-02,  5.23734e+02,  1.75998e+00,
   280,    41, -3.25513e-01,  1.89260e-02,  1.22265e+01,  8.74469e-03, -4.55354e+02,  1.82960e+00,
   280,    91,  3.25513e-01, -1.89260e-02,  1.28670e+01, -8.74469e-03,  5.32196e+02,  2.71049e+00,
   281,    42, -8.39018e-01,  9.95789e-03,  1.22074e+01, -1.85976e-02, -4.53124e+02,  8.02334e-01,
   281,    92,  8.39018e-01, -9.95789e-03,  1.28861e+01,  1.85976e-02,  5.34506e+02,  1.58350e+00,
   282,    45, -1.83382e+00,  2.37560e-02,  1.21462e+01,  3.34285e-02, -4.45150e+02,  2.43909e+00,
   282,    95,  1.83382e+00, -2.37560e-02,  1.29473e+01, -3.34285e-02,  5.41103e+02,  3.25144e+00,
   283,    46, -9.34599e-01,  3.02678e-03,  1.22075e+01,  2.23317e-02, -4.53112e+02, -9.14013e-02,
   283,    96,  9.34599e-01, -3.02678e-03,  1.28861e+01, -2.23317e-02,  5.34454e+02,  8.14481e-01,
   284,    49,  6.43370e+00,  5.00971e-03,  1.24389e+01,  2.91388e-02, -4.72631e+02, -2.57511e-01,
   284,    99, -6.43370e+00, -5.00971e-03,  1.26546e+01, -2.91388e-02,  4.99187e+02,  1.49197e+00,
   285,    50,  5.94372e+00,  2.45075e-02,  1.24586e+01,  2.48653e-03, -4.70386e+02,  1.96806e+00,
   285,   100, -5.94372e+00, -2.45075e-02,  1.26349e+01, -2.48653e-03,  4.92122e+02,  3.93078e+00,
   286,    31, -1.10307e-01,  5.93189e-03,  1.24332e+01, -1.92963e-02, -4.78937e+02,  2.13109e-01,
   286,   131,  1.10307e-01, -5.93189e-03,  1.26603e+01,  1.92963e-02,  5.06192e+02,  1.21034e+00,
   287,    32, -8.67376e-01,  7.38711e-03,  1.24295e+01, -2.76193e-02, -4.78494e+02,  3.96028e-01,
   287,   132,  8.67376e-01, -7.38711e-03,  1.26640e+01,  2.76193e-02,  5.06610e+02,  1.37481e+00,
   288,    35, -5.77002e-02,  9.12855e-03,  1.23267e+01, -4.92451e-03, -4.66873e+02,  6.57925e-01,
   288,   135,  5.77002e-02, -9.12855e-03,  1.27668e+01,  4.92451e-03,  5.19687e+02,  1.53272e+00,
   289,    36, -1.01840e-02,  1.42074e-02,  1.23200e+01, -2.33730e-02, -4.66016e+02,  1.26577e+00,
   289,   136,  1.01840e-02, -1.42074e-02,  1.27736e+01,  2.33730e-02,  5.20446e+02,  2.14395e+00,
   290,    39,  3.66435e-01,  1.01749e-02,  1.22493e+01,  7.01310e-03, -4.57311e+02,  7.79813e-01,
   290,   139, -3.66435e-01, -1.01749e-02,  1.28442e+01, -7.01310e-03,  5.28726e+02,  1.66374e+00,
   291,    40,  3.36433e-01,  1.78725e-02,  1.22434e+01, -1.99556e-02, -4.56500e+02,  1.68429e+00,
   291,   140, -3.36433e-01, -1.78725e-02,  1.28501e+01,  1.99556e-02,  5.29343e+02,  2.60725e+00,
   292,    43, -2.91658e+00,  6.83591e-03,  1.21719e+01,  2.83071e-02, -4.50676e+02,  4.26105e-01,
   292,   143,  2.91658e+00, -6.83591e-03,  1.29216e+01, -2.83071e-02,  5.40317e+02,  1.20535e+00,
   293,    44, -2.86286e+00,  1.50367e-02,  1.21732e+01,  1.52548e-02, -4.50890e+02,  1.48069e+00,
   293,   144,  2.86286e+00, -1.50367e-02,  1.29203e+01, -1.52548e-02,  5.40247e+02,  2.11468e+00,
   294,    47,  6.92524e+00,  3.17708e-03,  1.22265e+01,  1.91488e-02, -4.42808e+02, -3.90375e-01,
   294,   147, -6.92524e+00, -3.17708e-03,  1.28670e+01, -1.91488e-02,  5.20497e+02,  1.16753e+00,
   295,    48,  6.92624e+00,  2.10861e-02,  1.22651e+01, -1.61975e-02, -4.48910e+02,  1.51081e+00,
   295,   148, -6.92624e+00, -2.10861e-02,  1.28285e+01,  1.61975e-02,  5.17319e+02,  3.57585e+00,
"R E A C T I O N S  (global)"
 Node   ,    Fx      ,   Fy   ,      Fz   ,     Mxx    ,    Myy    ,    Mzz
     1,  9.56344e-01, -6.56455e+00,  2.38568e-01,  9.93797e+01,  1.44785e+01, -7.48417e-03,
     2,  2.11493e+01, -2.00461e-02,  3.87143e+02,  8.64881e-01,  3.06328e+02,  1.61204e-02,
     3,  7.20763e-02, -3.97773e+00,  5.62405e+02, -4.03474e+01, -1.45835e+01,  1.14083e-01,
     4,  3.55888e-01, -4.55412e+00,  5.62177e+02, -2.33724e+02, -1.86400e+01,  1.16796e-01,
     5, -1.04775e+01,  8.15408e-03,  3.72520e+02, -1.57351e+00,  7.51502e+02, -3.35556e-01,
     6, -1.13154e+00,  4.32109e-02,  1.58583e+02, -4.98341e+00, -6.47544e+01,  2.71678e-02,
     7, -4.75305e+00,  4.88332e+00,  4.31676e+01,       0.0,        0.0,        0.0, 
     8,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
     9,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    10,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    11, -9.05863e-01,  1.99161e+00,  3.31931e+01,       0.0,        0.0,        0.0, 
    12,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    13,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    14,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    15,  1.58902e-01, -2.03725e-01,  3.49202e+01,       0.0,        0.0,        0.0, 
    16,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    17,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    18,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    19, -6.71318e-01, -1.10814e+00,  3.61087e+01,       0.0,        0.0,        0.0, 
    20,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    21,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    22,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    23,  9.20462e+00,  5.30741e+00,  3.70170e+01,       0.0,        0.0,        0.0, 
    24,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    25,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    26,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    27, -1.18308e+01, -4.33038e+00,  2.37957e+01,       0.0,        0.0,        0.0, 
    28,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    29,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    30,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    31,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    32,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    33,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    34,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    35,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    36,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    37,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    38,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    39,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    40,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    41,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    42,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    43,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    44,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    45,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    46,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    47,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    48,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    49,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    50,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    51,  1.21804e+00,  1.24819e+01,  2.38568e-01, -1.88961e+02,  1.84405e+01, -2.32763e-02,
    52,  1.05254e+01,  5.33273e+00,  2.22509e+02, -7.18897e+01,  1.58394e+02, -2.85051e-02,
    53,  7.04054e-01,  8.12041e+00,  3.12200e+02, -4.96117e+01,  2.66276e+01, -7.04923e-02,
    54,  1.65988e+00,  8.05867e+00,  3.11852e+02,  1.26325e+02,  4.08377e+01, -1.11311e-01,
    55, -3.64646e+00,  2.66410e+00,  2.16204e+02, -1.04094e+02,  9.69393e+02,  7.87462e-02,
    56, -6.45987e-01,  2.67095e+00,  9.60402e+01, -1.06628e+02, -2.55039e+01,  3.16491e-02,
    57, -3.69276e-01, -6.82968e+00,  3.09562e+01,       0.0,        0.0,        0.0, 
    58,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    59,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    60,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    61,  4.35349e+00, -1.94852e+00,  2.02861e+01,       0.0,        0.0,        0.0, 
    62,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    63,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    64,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    65,  5.79676e+00,  2.98824e-01,  2.12927e+01,       0.0,        0.0,        0.0, 
    66,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    67,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    68,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    69,  5.07338e+00,  6.00821e-01,  2.19537e+01,       0.0,        0.0,        0.0, 
    70,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    71,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    72,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    73,  1.11959e+01, -2.95257e+00,  2.28950e+01,       0.0,        0.0,        0.0, 
    74,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    75,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    76,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    77, -1.59114e-01, -1.63616e+00,  7.99323e+00,       0.0,        0.0,        0.0, 
    78,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    79,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    80,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    81,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    82,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    83,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    84,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    85,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    86,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    87,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    88,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    89,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    90,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    91,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    92,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    93,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    94,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    95,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    96,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    97,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    98,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
    99,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   100,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   101,  1.15471e+00, -5.55604e+00,  2.38568e-01,  8.41120e+01,  1.74817e+01,  3.02931e-02,
   102,  9.76796e+00, -5.35125e+00,  2.04183e+02,  7.33917e+01,  1.28395e+02,  6.37418e-04,
   103, -1.20468e+00, -4.23294e+00,  2.60623e+02,  9.46161e+01, -6.23947e+01, -5.64950e-02,
   104, -1.01155e+00, -3.52473e+00,  2.60797e+02,  1.12738e+02, -6.53622e+01, -4.24924e-02,
   105, -5.43647e+00, -2.65413e+00,  1.96039e+02,  1.01525e+02, -2.33728e+02,  3.19778e-03,
   106, -1.34844e+00, -2.59771e+00,  9.62941e+01,  9.71831e+01, -7.97455e+01,  2.09819e-02,
   107, -7.17175e+00,  1.63741e+00,  1.87323e+01,       0.0,        0.0,        0.0, 
   108,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   109,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   110,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   111, -5.82936e+00, -1.26291e-01,  2.01141e+01,       0.0,        0.0,        0.0, 
   112,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   113,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   114,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   115, -6.26672e+00, -1.26516e-01,  2.09614e+01,       0.0,        0.0,        0.0, 
   116,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   117,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   118,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   119, -4.78577e+00,  7.25292e-01,  2.16313e+01,       0.0,        0.0,        0.0, 
   120,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   121,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   122,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   123,  9.24584e-01, -3.10186e+00,  2.16940e+01,       0.0,        0.0,        0.0, 
   124,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   125,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   126,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   127, -8.62575e+00,  6.57227e+00,  2.29368e+01,       0.0,        0.0,        0.0, 
   128,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   129,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   130,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   131,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   132,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   133,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   134,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   135,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   136,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   137,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   138,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   139,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   140,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   141,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   142,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   143,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   144,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   145,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   146,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   147,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
   148,       0.0,        0.0,        0.0,        0.0,        0.0,        0.0, 
"R M S    R E L A T I V E    E Q U I L I B R I U M    E R R O R:", 3.964e-07
